O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.00	2.A.1.a	Reading Comprehension	IM	4.12	8	0.13	3.88	4.37	N	n/a	07/2014	Analyst
11-1011.00	2.A.1.a	Reading Comprehension	LV	4.75	8	0.16	4.43	5.07	N	N	07/2014	Analyst
11-1011.00	2.A.1.b	Active Listening	IM	4.12	8	0.13	3.88	4.37	N	n/a	07/2014	Analyst
11-1011.00	2.A.1.b	Active Listening	LV	4.88	8	0.23	4.43	5.32	N	N	07/2014	Analyst
11-1011.00	2.A.1.c	Writing	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2014	Analyst
11-1011.00	2.A.1.c	Writing	LV	4.38	8	0.18	4.02	4.73	N	N	07/2014	Analyst
11-1011.00	2.A.1.d	Speaking	IM	4.38	8	0.18	4.02	4.73	N	n/a	07/2014	Analyst
11-1011.00	2.A.1.d	Speaking	LV	4.88	8	0.13	4.63	5.12	N	N	07/2014	Analyst
11-1011.00	2.A.1.e	Mathematics	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2014	Analyst
11-1011.00	2.A.1.e	Mathematics	LV	3.62	8	0.26	3.11	4.14	N	N	07/2014	Analyst
11-1011.00	2.A.1.f	Science	IM	1.88	8	0.13	1.63	2.12	N	n/a	07/2014	Analyst
11-1011.00	2.A.1.f	Science	LV	1.12	8	0.23	0.68	1.57	N	N	07/2014	Analyst
11-1011.00	2.A.2.a	Critical Thinking	IM	4.38	8	0.18	4.02	4.73	N	n/a	07/2014	Analyst
51-9141.00	2.B.3.g	Operations Monitoring	LV	3.50	8	0.27	2.98	4.02	N	N	06/2010	Analyst
51-9141.00	2.B.3.h	Operation and Control	IM	2.88	8	0.23	2.43	3.32	N	n/a	06/2010	Analyst
51-9141.00	2.B.3.h	Operation and Control	LV	2.88	8	0.23	2.43	3.32	N	N	06/2010	Analyst
51-9141.00	2.B.3.j	Equipment Maintenance	IM	2.88	8	0.23	2.43	3.32	N	n/a	06/2010	Analyst
51-9141.00	2.B.3.j	Equipment Maintenance	LV	2.88	8	0.23	2.43	3.32	N	N	06/2010	Analyst
51-9141.00	2.B.3.k	Troubleshooting	IM	2.88	8	0.13	2.63	3.12	N	n/a	06/2010	Analyst
51-9141.00	2.B.3.k	Troubleshooting	LV	2.75	8	0.16	2.43	3.07	N	N	06/2010	Analyst
51-9141.00	2.B.3.l	Repairing	IM	2.50	8	0.19	2.13	2.87	N	n/a	06/2010	Analyst
51-9141.00	2.B.3.l	Repairing	LV	2.62	8	0.18	2.27	2.98	N	N	06/2010	Analyst
51-9141.00	2.B.3.m	Quality Control Analysis	IM	3.25	8	0.25	2.76	3.74	N	n/a	06/2010	Analyst
51-9141.00	2.B.3.m	Quality Control Analysis	LV	3.38	8	0.18	3.02	3.73	N	N	06/2010	Analyst
51-9141.00	2.B.4.e	Judgment and Decision Making	IM	2.88	8	0.13	2.63	3.12	N	n/a	06/2010	Analyst
51-9141.00	2.B.4.e	Judgment and Decision Making	LV	2.88	8	0.23	2.43	3.32	N	N	06/2010	Analyst
51-9141.00	2.B.4.g	Systems Analysis	IM	2.25	8	0.37	1.53	2.97	N	n/a	06/2010	Analyst
51-9141.00	2.B.4.g	Systems Analysis	LV	1.88	8	0.44	1.01	2.74	N	N	06/2010	Analyst
51-9141.00	2.B.4.h	Systems Evaluation	IM	2.00	8	0.27	1.48	2.52	N	n/a	06/2010	Analyst
51-9141.00	2.B.4.h	Systems Evaluation	LV	1.38	8	0.38	0.64	2.11	N	N	06/2010	Analyst
51-9141.00	2.B.5.a	Time Management	IM	2.75	8	0.16	2.43	3.07	N	n/a	06/2010	Analyst
51-9141.00	2.B.5.a	Time Management	LV	2.75	8	0.25	2.26	3.24	N	N	06/2010	Analyst
51-9141.00	2.B.5.b	Management of Financial Resources	IM	1.50	8	0.27	1.00	2.02	N	n/a	06/2010	Analyst
51-9141.00	2.B.5.b	Management of Financial Resources	LV	0.50	8	0.27	0.00	1.02	N	N	06/2010	Analyst
51-9141.00	2.B.5.c	Management of Material Resources	IM	1.62	8	0.26	1.11	2.14	N	n/a	06/2010	Analyst
51-9141.00	2.B.5.c	Management of Material Resources	LV	0.88	8	0.40	0.09	1.66	N	N	06/2010	Analyst
51-9141.00	2.B.5.d	Management of Personnel Resources	IM	2.25	8	0.31	1.64	2.86	N	n/a	06/2010	Analyst
51-9141.00	2.B.5.d	Management of Personnel Resources	LV	1.75	8	0.41	0.94	2.56	N	N	06/2010	Analyst
51-9151.00	2.A.1.a	Reading Comprehension	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2017	Analyst
51-9151.00	2.A.1.a	Reading Comprehension	LV	3.25	8	0.16	2.93	3.57	N	N	07/2017	Analyst
51-9151.00	2.A.1.b	Active Listening	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2017	Analyst
51-9151.00	2.A.1.b	Active Listening	LV	3.38	8	0.26	2.86	3.89	N	N	07/2017	Analyst
51-9151.00	2.A.1.c	Writing	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2017	Analyst
51-9151.00	2.A.1.c	Writing	LV	2.88	8	0.13	2.63	3.12	N	N	07/2017	Analyst
51-9151.00	2.A.1.d	Speaking	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2017	Analyst
51-9151.00	2.A.1.d	Speaking	LV	3.00	8	0.19	2.63	3.37	N	N	07/2017	Analyst
51-9151.00	2.A.1.e	Mathematics	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2017	Analyst
51-9151.00	2.A.1.e	Mathematics	LV	2.25	8	0.25	1.76	2.74	N	N	07/2017	Analyst
51-9151.00	2.A.1.f	Science	IM	1.62	8	0.26	1.11	2.14	N	n/a	07/2017	Analyst
51-9151.00	2.A.1.f	Science	LV	1.00	8	0.38	0.26	1.74	N	N	07/2017	Analyst
51-9151.00	2.A.2.a	Critical Thinking	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2017	Analyst
51-9151.00	2.A.2.a	Critical Thinking	LV	3.12	8	0.13	2.88	3.37	N	N	07/2017	Analyst
51-9151.00	2.A.2.b	Active Learning	IM	2.88	8	0.23	2.43	3.32	N	n/a	07/2017	Analyst
51-9151.00	2.A.2.b	Active Learning	LV	2.88	8	0.13	2.63	3.12	N	N	07/2017	Analyst
51-9151.00	2.A.2.c	Learning Strategies	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2017	Analyst
51-9151.00	2.A.2.c	Learning Strategies	LV	2.88	8	0.13	2.63	3.12	N	N	07/2017	Analyst
51-9151.00	2.A.2.d	Monitoring	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2017	Analyst
51-9151.00	2.A.2.d	Monitoring	LV	3.25	8	0.16	2.93	3.57	N	N	07/2017	Analyst
51-9151.00	2.B.1.a	Social Perceptiveness	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2017	Analyst
51-9151.00	2.B.1.a	Social Perceptiveness	LV	3.00	8	0.27	2.48	3.52	N	N	07/2017	Analyst
51-9151.00	2.B.1.b	Coordination	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2017	Analyst
51-9151.00	2.B.1.b	Coordination	LV	2.88	8	0.23	2.43	3.32	N	N	07/2017	Analyst
51-9151.00	2.B.1.c	Persuasion	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2017	Analyst
51-9151.00	2.B.1.c	Persuasion	LV	2.75	8	0.25	2.26	3.24	N	N	07/2017	Analyst
51-9151.00	2.B.1.d	Negotiation	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2017	Analyst
51-9151.00	2.B.1.d	Negotiation	LV	2.62	8	0.18	2.27	2.98	N	N	07/2017	Analyst
51-9151.00	2.B.1.e	Instructing	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2017	Analyst
51-9151.00	2.B.1.e	Instructing	LV	2.75	8	0.16	2.43	3.07	N	N	07/2017	Analyst
51-9151.00	2.B.1.f	Service Orientation	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2017	Analyst
51-9151.00	2.B.1.f	Service Orientation	LV	3.00	8	0.19	2.63	3.37	N	N	07/2017	Analyst
51-9151.00	2.B.2.i	Complex Problem Solving	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2017	Analyst
51-9151.00	2.B.2.i	Complex Problem Solving	LV	2.75	8	0.16	2.43	3.07	N	N	07/2017	Analyst
